      station_name       station_id  water_level (in m)        lat       long
28          TILOLI  253551074184801                0.68  25.597500  74.313333





      station_name       station_id  water_level (in m)        lat       long
0         AMARWASI  254315075211501                2.22  25.720833  75.354167
1           BADNOR  255000074170001               10.64  25.833333  74.283333
2     BANERAMATAJI  252915074420001               12.70  25.487500  74.700000
3          BARASNI  254530074280001                9.84  25.758333  74.466667
4            BIGOD  251440075023001                6.35  25.244444  75.041667
5          BIJOLIA  251012075192201                7.51  25.170000  75.322778
6           BORANI  254100075200001               11.65  25.683333  75.333333
7          DEVARIA  251700074093001               15.24  25.283333  74.158333
8           GAGEDA  255200074330001                6.54  25.866667  74.550000
9        GANGAPUR1  251300074153501               13.01  25.216667  74.259722
10       GULABPURA  255400074410001                9.80  25.900000  74.683333
11      GULABPURA1  253820075065501                7.54  25.638889  75.115278
12       HAMIRGARH  251050074345001               15.41  25.180556  74.580556
13        JAHAJPUR  253715075163001                8.52  25.620833  75.275000
14      JIWANLIYAN  253056074332801                9.21  25.515556  74.557778
15    KANCHAN-KALA  254520074542001                3.12  25.755556  74.905556
16          Karera  253100074160001               15.50  25.516667  74.266667
17        KODUKOTA  252230074463001               14.37  25.375000  74.775000
18          KOTARI  252350074533001                6.59  25.397222  74.891667
19     MANDALGARH1  251700075053801               16.19  25.283333  75.093889
20     MANDAPIA RS  251610074381501                6.40  25.269444  74.637500
21        NANGPURA  252715074111501                7.36  25.454167  74.187500
22          PAROLI  253104075053001                5.34  25.517778  75.091667
23       PITAKHERA  252226074063001               11.12  25.373889  74.108333
24      RAILA ROAD  253800074360001                9.12  25.633333  74.600000
25       SALAWATIA  250650075154001               18.58  25.113889  75.261111
26        Sawaipur  251830074500001               13.38  25.308333  74.833333
27        SAWAIPUR  251825074520001               10.82  25.306944  74.866667
28          SOPURA  253615074540001                8.54  25.604167  74.900000
29         SUWANA1  252100074420001               21.30  25.350000  74.700000
30  Taswaria Khurd  253340074480001               11.33  25.561111  74.800000
31          TILOLI  253551074184801                3.33  25.597500  74.313333





      station_name       station_id  water_level (in m)        lat       long
0         AMARWASI  254315075211501                2.17  25.720833  75.354167
1           BADNOR  255000074170001               12.18  25.833333  74.283333
2     BANERAMATAJI  252915074420001               12.00  25.487500  74.700000
3          BARASNI  254530074280001                8.66  25.758333  74.466667
4            BIGOD  251440075023001                2.67  25.244444  75.041667
5          BIJOLIA  251012075192201               11.53  25.170000  75.322778
6           BORANI  254100075200001                6.61  25.683333  75.333333
7          DEVARIA  251700074093001               10.10  25.283333  74.158333
8           GAGEDA  255200074330001                3.71  25.866667  74.550000
9        GANGAPUR1  251300074153501               11.08  25.216667  74.259722
10       GULABPURA  255400074410001                7.61  25.900000  74.683333
11      GULABPURA1  253820075065501               10.10  25.638889  75.115278
12       HAMIRGARH  251050074345001               15.70  25.180556  74.580556
13        JAHAJPUR  253715075163001               11.06  25.620833  75.275000
14      JIWANLIYAN  253056074332801               11.94  25.515556  74.557778
15    KANCHAN-KALA  254520074542001                2.10  25.755556  74.905556
16          Karera  253100074160001               15.50  25.516667  74.266667
17        KODUKOTA  252230074463001               13.33  25.375000  74.775000
18          KOTARI  252350074533001                5.67  25.397222  74.891667
19     MANDALGARH1  251700075053801               21.92  25.283333  75.093889
20     MANDAPIA RS  251610074381501                6.05  25.269444  74.637500
21          PAROLI  253104075053001                1.06  25.517778  75.091667
22       PITAKHERA  252226074063001                7.44  25.373889  74.108333
23      RAILA ROAD  253800074360001                7.03  25.633333  74.600000
24       SALAWATIA  250650075154001               14.50  25.113889  75.261111
25        Sawaipur  251830074500001               12.60  25.308333  74.833333
26        SAWAIPUR  251825074520001                9.43  25.306944  74.866667
27          SOPURA  253615074540001                9.68  25.604167  74.900000
28  Taswaria Khurd  253340074480001               13.05  25.561111  74.800000
29          TILOLI  253551074184801                8.06  25.597500  74.313333












      station_name       station_id  water_level (in m)        lat       long
0         AMARWASI  254315075211501                1.72  25.720833  75.354167
1           BADNOR  255000074170001                4.42  25.833333  74.283333
2     BANERAMATAJI  252915074420001               14.88  25.487500  74.700000
3          BARASNI  254530074280001               10.70  25.758333  74.466667
4            BIGOD  251440075023001                6.40  25.244444  75.041667
5          BIJOLIA  251012075192201                5.59  25.170000  75.322778
6           BORANI  254100075200001                9.34  25.683333  75.333333
7          DEVARIA  251700074093001               13.34  25.283333  74.158333
8           GAGEDA  255200074330001                6.31  25.866667  74.550000
9        GANGAPUR1  251300074153501               15.32  25.216667  74.259722
10       GULABPURA  255400074410001                5.81  25.900000  74.683333
11      GULABPURA1  253820075065501                6.83  25.638889  75.115278
12       HAMIRGARH  251050074345001                9.35  25.180556  74.580556
13        JAHAJPUR  253715075163001                6.71  25.620833  75.275000
14      JIWANLIYAN  253056074332801                7.58  25.515556  74.557778
15    KANCHAN-KALA  254520074542001                2.18  25.755556  74.905556
16          Karera  253100074160001               15.73  25.516667  74.266667
17        KODUKOTA  252230074463001                9.49  25.375000  74.775000
18          KOTARI  252350074533001                6.68  25.397222  74.891667
19     MANDALGARH1  251700075053801                4.73  25.283333  75.093889
20     MANDAPIA RS  251610074381501                7.88  25.269444  74.637500
21        NANGPURA  252715074111501               17.50  25.454167  74.187500
22          PAROLI  253104075053001                4.00  25.517778  75.091667
23       PITAKHERA  252226074063001               11.77  25.373889  74.108333
24      RAILA ROAD  253800074360001               15.11  25.633333  74.600000
25       SALAWATIA  250650075154001               16.63  25.113889  75.261111
26        Sawaipur  251830074500001               18.17  25.308333  74.833333
27        SAWAIPUR  251825074520001               13.46  25.306944  74.866667
28          SOPURA  253615074540001                7.39  25.604167  74.900000
29         SUWANA1  252100074420001                5.05  25.350000  74.700000
30  Taswaria Khurd  253340074480001                9.11  25.561111  74.800000
31          TILOLI  253551074184801                3.58  25.597500  74.313333





      station_name       station_id  water_level (in m)        lat       long
0         AMARWASI  254315075211501                1.78  25.720833  75.354167
1           BADNOR  255000074170001                1.37  25.833333  74.283333
2     BANERAMATAJI  252915074420001                9.38  25.487500  74.700000
3          BARASNI  254530074280001                0.40  25.758333  74.466667
4            BIGOD  251440075023001                6.71  25.244444  75.041667
5          BIJOLIA  251012075192201                6.08  25.170000  75.322778
6          DEVARIA  251700074093001               13.06  25.283333  74.158333
7           GAGEDA  255200074330001                3.81  25.866667  74.550000
8        GANGAPUR1  251300074153501               10.69  25.216667  74.259722
9        GULABPURA  255400074410001                4.91  25.900000  74.683333
10      GULABPURA1  253820075065501                8.06  25.638889  75.115278
11       HAMIRGARH  251050074345001               11.74  25.180556  74.580556
12        JAHAJPUR  253715075163001                7.16  25.620833  75.275000
13      JIWANLIYAN  253056074332801                6.55  25.515556  74.557778
